t,Va,Vb
-0.0148399984,-2.5599999,-2.96000004
-0.0148199992,-2.3999999,-2.3199999
-0.0147999991,-2.5599999,-2.87999988
-0.0147799989,-2.48,-2.6399999
-0.0147599988,-2.3999999,-2.72000003
-0.0147399986,-2.48,-2.79999995
-0.0147199985,-2.3999999,-2.3999999
-0.0146999983,-2.5599999,-2.6399999
-0.0146799991,-2.5599999,-2.72000003
-0.0146599989,-2.48,-2.3999999
-0.0146399988,-2.6399999,-2.72000003
-0.0146199986,-2.48,-2.3999999
-0.0145999985,-2.48,-2.6399999
-0.0145799983,-2.48,-2.48
-0.0145599991,-2.5599999,-2.72000003
-0.014539999,-2.3999999,-2.6399999
-0.0145199988,-2.5599999,-2.6399999
-0.0144999987,-2.5599999,-2.3999999
-0.0144799985,-2.3999999,-2.3999999
-0.0144599983,-2.5599999,-2.72000003
-0.0144399991,-2.5599999,-2.6399999
-0.014419999,-2.5599999,-2.6399999
-0.0143999988,-2.48,-2.5599999
-0.0143799987,-2.5599999,-2.48
-0.0143599985,-2.5599999,-2.72000003
-0.0143399984,-2.48,-2.48
-0.0143199991,-2.5599999,-2.5599999
-0.014299999,-2.5599999,-2.3999999
-0.0142799988,-2.48,-2.24
-0.0142599987,-2.48,-2.48
-0.0142399985,-2.48,-2.3999999
-0.0142199984,-2.48,-2.5599999
-0.0141999992,-2.48,-2.5599999
-0.014179999,-2.48,-2.6399999
-0.0141599989,-2.48,-2.48
-0.0141399987,-2.48,-2.3999999
-0.0141199986,-2.48,-2.5599999
-0.0140999984,-2.48,-2.3999999
-0.0140799992,-2.5599999,-2.72000003
-0.014059999,-2.5599999,-2.48
-0.0140399989,-2.5599999,-2.79999995
-0.0140199987,-2.48,-2.5599999
-0.0139999986,-2.5599999,-2.79999995
-0.0139799984,-2.48,-2.72000003
-0.0139599992,-2.5599999,-2.5599999
-0.013939999,-2.5599999,-2.6399999
-0.0139199989,-2.5599999,-2.5599999
-0.0138999987,-2.3999999,-2.3999999
-0.0138799986,-2.48,-2.6399999
-0.0138599984,-2.3999999,-2.6399999
-0.0138399992,-2.3999999,-2.48
-0.0138199991,-2.5599999,-2.48
-0.0137999989,-2.3999999,-2.6399999
-0.0137799988,-2.3999999,-2.3999999
-0.0137599986,-2.48,-2.48
-0.0137399985,-2.48,-2.6399999
-0.0137199992,-2.48,-2.48
-0.0136999991,-2.5599999,-2.5599999
-0.0136799989,-2.5599999,-2.5599999
-0.0136599988,-2.6399999,-2.5599999
-0.0136399986,-2.48,-2.48
-0.0136199985,-2.48,-2.6399999
-0.0135999992,-2.48,-2.3999999
-0.0135799991,-2.48,-2.48
-0.0135599989,-2.5599999,-2.5599999
-0.0135399988,-2.6399999,-2.79999995
-0.0135199986,-2.5599999,-2.6399999
-0.0134999985,-2.48,-2.6399999
-0.0134799983,-2.5599999,-2.6399999
-0.0134599991,-2.5599999,-2.48
-0.013439999,-2.48,-2.5599999
-0.0134199988,-2.5599999,-2.3199999
-0.0133999987,-2.5599999,-2.3999999
-0.0133799985,-2.5599999,-2.48
-0.0133599984,-2.48,-2.48
-0.0133399991,-2.5599999,-2.6399999
-0.013319999,-2.5599999,-2.6399999
-0.0132999988,-2.5599999,-2.48
-0.0132799987,-2.48,-2.48
-0.0132599985,-2.3999999,-2.3199999
-0.0132399984,-2.5599999,-2.3999999
-0.0132199991,-2.48,-2.6399999
-0.013199999,-2.48,-2.48
-0.0131799988,-2.3999999,-2.5599999
-0.0131599987,-2.3999999,-2.3999999
-0.0131399985,-2.48,-2.5599999
-0.0131199984,-2.48,-2.5599999
-0.0130999992,-2.48,-2.5599999
-0.013079999,-2.3999999,-2.3999999
-0.0130599989,-2.5599999,-2.3999999
-0.0130399987,-2.48,-2.79999995
-0.0130199986,-2.5599999,-2.5599999
-0.0129999984,-2.48,-2.3999999
-0.0129799992,-2.5599999,-2.6399999
-0.012959999,-2.48,-2.3999999
-0.0129399989,-2.5599999,-2.48
-0.0129199987,-2.3999999,-2.3999999
-0.0128999986,-2.48,-2.72000003
-0.0128799984,-2.48,-2.3999999
-0.0128599992,-2.48,-2.6399999
-0.012839999,-2.48,-2.24
-0.0128199989,-2.3999999,-2.3999999
