tiempo(s),A0(V),A1(V)
0.0481,2.419,2.405
0.0482,2.419,2.405
0.0483,2.41,2.41
0.0484,2.4,2.41
0.0485,2.414,2.424
0.0486,2.419,2.419
0.0487,2.419,2.424
0.0488,2.424,2.439
0.0489,2.429,2.444
0.049,2.444,2.454
0.0491,2.444,2.439
0.0492,2.434,2.439
0.0493,2.429,2.439
0.0494,2.434,2.424
0.0495,2.424,2.414
0.0496,2.41,2.405
0.0497,2.405,2.39
0.0498,2.39,2.38
0.0499,2.4,2.39
0.05,2.405,2.405
0,2.434,2.439
0.0001,2.424,2.429
0.0002,2.434,2.41
0.0003,2.424,2.41
0.0004,2.434,2.419
0.0005,2.439,2.414
0.0006,2.424,2.405
0.0007,2.419,2.414
0.0008,2.414,2.424
0.0009,2.405,2.424
0.001,2.414,2.424
0.0011,2.405,2.429
0.0012,2.4,2.424
0.0013,2.4,2.424
0.0014,2.414,2.429
0.0015,2.424,2.439
0.0016,2.439,2.444
0.0017,2.449,2.449
0.0018,2.454,2.429
0.0019,2.458,2.405
0.002,2.439,2.405
0.0021,2.429,2.41
0.0022,2.424,2.405
0.0023,2.41,2.405
0.0024,2.419,2.405
0.0025,2.405,2.414
0.0026,2.419,2.429
0.0027,2.414,2.439
0.0028,2.439,2.424
0.0029,2.424,2.439
0.003,2.424,2.439
0.0031,0,0
0.0032,0,0
0.0033,0,0
0.0034,0,0
0.0035,0,0
0.0036,0,0
0.0037,0,0
0.0038,0,0
0.0039,0,0
0.004,0,0
0.0041,0,0
0.0042,0,0
0.0043,0,0
0.0044,0,0
0.0045,0,0
0.0046,0,0
0.0047,0,0
0.0048,0,0
0.0049,0,0
0.005,0,0
0.0051,0,0
0.0052,0,0
0.0053,0,0
0.0054,0,0
0.0055,0,0
0.0056,0,0
0.0057,0,0
0.0058,0,0
0.0059,0,0
0.006,0,0
0.0061,0,0
0.0062,0,0
0.0063,0,0
0.0064,0,0
0.0065,0,0
0.0066,0,0
0.0067,0,0
0.0068,0,0
0.0069,0,0
0.007,0,0
0.0071,0,0
0.0072,0,0
0.0073,0,0
0.0074,0,0
0.0075,0,0
0.0076,0,0
0.0077,0,0
0.0078,0,0
0.0079,0,0
0.008,0,0
0.0081,0,0
0.0082,0,0
0.0083,0,0
0.0084,0,0
0.0085,0,0
0.0086,0,0
0.0087,0,0
0.0088,0,0
0.0089,0,0
0.009,0,0
0.0091,0,0
0.0092,0,0
0.0093,0,0
0.0094,0,0
0.0095,0,0
0.0096,0,0
0.0097,0,0
0.0098,0,0
0.0099,0,0
0.01,0,0
0.0101,0,0
0.0102,0,0
0.0103,0,0
0.0104,0,0
0.0105,0,0
0.0106,0,0
0.0107,0,0
0.0108,0,0
0.0109,0,0
0.011,0,0
0.0111,0,0
0.0112,0,0
0.0113,0,0
0.0114,0,0
0.0115,0,0
0.0116,0,0
0.0117,0,0
0.0118,0,0
0.0119,0,0
0.012,0,0
0.0121,0,0
0.0122,0,0
0.0123,0,0
0.0124,0,0
0.0125,0,0
